,crop_type,country,average_exportation,percent
123,soy,Switzerland,161.16666666666666,0.0001%
143,soy,Zimbabwe,158.5,0.0001%
79,soy,Mali,153.5,0.0001%
108,soy,Rwanda,148.0,0.0001%
122,soy,Sweden,110.33333333333333,0.0001%
89,soy,Nicaragua,75.5,0.0001%
71,soy,Lebanon,75.0,0.0000%
60,soy,Israel,60.2,0.0000%
93,soy,Norway,56.5,0.0000%
63,soy,Japan,54.666666666666664,0.0000%
100,soy,Philippines,54.4,0.0000%
120,soy,Sudan,54.333333333333336,0.0000%
110,soy,Saudi Arabia,53.8,0.0000%
117,soy,South Sudan,48.0,0.0000%
57,soy,Iran (Islamic Republic of),45.0,0.0000%
64,soy,Jordan,39.75,0.0000%
19,soy,Brunei Darussalam,28.2,0.0000%
29,soy,Colombia,27.5,0.0000%
99,soy,Peru,25.166666666666668,0.0000%
38,soy,Dominican Republic,23.166666666666668,0.0000%
17,soy,Botswana,21.5,0.0000%
119,soy,Sri Lanka,21.0,0.0000%
94,soy,Oman,16.25,0.0000%
51,soy,Guatemala,16.166666666666668,0.0000%
13,soy,Belize,15.333333333333334,0.0000%
85,soy,Namibia,14.25,0.0000%
67,soy,Kuwait,10.0,0.0000%
86,soy,Nepal,9.833333333333334,0.0000%
75,soy,Luxembourg,9.166666666666666,0.0000%
92,soy,North Macedonia,9.0,0.0000%
124,soy,Syrian Arab Republic,6.25,0.0000%
88,soy,New Zealand,5.0,0.0000%
9,soy,Bangladesh,3.2,0.0000%
22,soy,Burundi,3.0,0.0000%
39,soy,Ecuador,2.25,0.0000%
58,soy,Iraq,1.5,0.0000%
111,soy,Senegal,1.5,0.0000%
31,soy,Costa Rica,1.4,0.0000%
3,soy,Angola,1.25,0.0000%
52,soy,Guyana,1.25,0.0000%
73,soy,Liberia,1.0,0.0000%
103,soy,Qatar,1.0,0.0000%
62,soy,Jamaica,1.0,0.0000%
141,soy,Yemen,0.6666666666666666,0.0000%
45,soy,Finland,0.6,0.0000%
42,soy,Eswatini,0.5,0.0000%
96,soy,Panama,0.5,0.0000%
44,soy,Fiji,0.4,0.0000%
8,soy,Bahrain,0.25,0.0000%
80,soy,Mauritius,0.25,0.0000%
2,soy,Algeria,0.0,0.0000%
139,soy,Venezuela (Bolivarian Republic of),0.0,0.0000%
10,soy,Barbados,0.0,0.0000%
109,soy,Samoa,0.0,0.0000%
14,soy,Benin,0.0,0.0000%
23,soy,Cabo Verde,0.0,0.0000%
30,soy,Congo,0.0,0.0000%
121,soy,Suriname,0.0,0.0000%
76,soy,Madagascar,0.0,0.0000%
97,soy,Papua New Guinea,0.0,0.0000%
90,soy,Niger,0.0,0.0000%
82,soy,Morocco,0.0,0.0000%
1,soy,Albania,0.0,0.0000%
72,soy,Lesotho,0.0,0.0000%
