,crop_type,country,average_exportation,percent
129,maize,Singapore,1692.8333333333333,0.0010%
42,maize,Dominican Republic,1656.8333333333333,0.0010%
161,maize,Zimbabwe,1644.8333333333333,0.0010%
34,maize,Costa Rica,1401.4,0.0008%
87,maize,Madagascar,1374.3333333333333,0.0008%
43,maize,Ecuador,955.1666666666666,0.0006%
62,maize,Honduras,853.0,0.0005%
39,maize,Democratic Republic of the Congo,784.8,0.0005%
67,maize,Iran (Islamic Republic of),702.6666666666666,0.0004%
116,maize,Republic of Korea,687.3333333333334,0.0004%
112,maize,Philippines,669.8333333333334,0.0004%
125,maize,Senegal,517.3333333333334,0.0003%
18,maize,Botswana,507.6666666666667,0.0003%
138,maize,Sweden,461.0,0.0003%
97,maize,Namibia,453.8333333333333,0.0003%
139,maize,Switzerland,452.6666666666667,0.0003%
3,maize,Angola,399.1666666666667,0.0002%
47,maize,Eswatini,386.5,0.0002%
145,maize,Trinidad and Tobago,352.6666666666667,0.0002%
82,maize,Lesotho,344.6666666666667,0.0002%
108,maize,Palestine,342.75,0.0002%
109,maize,Panama,268.6666666666667,0.0002%
143,maize,Togo,231.5,0.0001%
102,maize,Niger,196.33333333333334,0.0001%
23,maize,Burundi,190.33333333333334,0.0001%
61,maize,Haiti,146.66666666666666,0.0001%
26,maize,Cameroon,133.4,0.0001%
91,maize,Mauritius,128.2,0.0001%
105,maize,Norway,117.0,0.0001%
124,maize,Saudi Arabia,97.66666666666667,0.0001%
135,maize,Sri Lanka,96.5,0.0001%
93,maize,Montenegro,92.0,0.0001%
115,maize,Qatar,86.0,0.0001%
0,maize,Afghanistan,73.8,0.0000%
20,maize,Brunei Darussalam,45.666666666666664,0.0000%
72,maize,Jamaica,42.166666666666664,0.0000%
4,maize,Antigua and Barbuda,35.0,0.0000%
122,maize,Saint Vincent and the Grenadines,32.666666666666664,0.0000%
73,maize,Japan,30.5,0.0000%
68,maize,Iraq,29.5,0.0000%
127,maize,Seychelles,23.0,0.0000%
52,maize,Gabon,22.5,0.0000%
37,maize,Cyprus,17.666666666666668,0.0000%
77,maize,Kuwait,16.0,0.0000%
15,maize,Benin,14.666666666666666,0.0000%
9,maize,Bahrain,13.666666666666666,0.0000%
94,maize,Morocco,11.0,0.0000%
60,maize,Guyana,9.25,0.0000%
1,maize,Albania,9.0,0.0000%
98,maize,Nepal,7.0,0.0000%
132,maize,Somalia,7.0,0.0000%
11,maize,Barbados,6.5,0.0000%
49,maize,Fiji,3.0,0.0000%
59,maize,Guinea,1.75,0.0000%
140,maize,Syrian Arab Republic,1.6666666666666667,0.0000%
2,maize,Algeria,1.25,0.0000%
41,maize,Dominica,1.0,0.0000%
121,maize,Saint Lucia,0.5,0.0000%
83,maize,Liberia,0.3333333333333333,0.0000%
144,maize,Tonga,0.3333333333333333,0.0000%
50,maize,Finland,0.25,0.0000%
128,maize,Sierra Leone,0.0,0.0000%
24,maize,Cabo Verde,0.0,0.0000%
28,maize,Central African Republic,0.0,0.0000%
64,maize,Iceland,0.0,0.0000%
53,maize,Gambia,0.0,0.0000%
137,maize,Suriname,0.0,0.0000%
29,maize,Chad,0.0,0.0000%
157,maize,Venezuela (Bolivarian Republic of),0.0,0.0000%
33,maize,Congo,0.0,0.0000%
123,maize,Samoa,0.0,0.0000%
