Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1979","1979","hg/ha","18522","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1980","1980","hg/ha","18554","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1981","1981","hg/ha","18800","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1982","1982","hg/ha","19992","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1983","1983","hg/ha","21258","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1984","1984","hg/ha","22201","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1985","1985","hg/ha","21719","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1986","1986","hg/ha","23213","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1987","1987","hg/ha","22900","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1988","1988","hg/ha","22926","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1989","1989","hg/ha","23732","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1990","1990","hg/ha","25626","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1991","1991","hg/ha","24435","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1992","1992","hg/ha","25404","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1993","1993","hg/ha","25436","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1994","1994","hg/ha","24484","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1995","1995","hg/ha","25153","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1996","1996","hg/ha","25765","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1997","1997","hg/ha","27020","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1998","1998","hg/ha","27058","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","1999","1999","hg/ha","27514","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2000","2000","hg/ha","27218","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2001","2001","hg/ha","27417","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2002","2002","hg/ha","27551","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2003","2003","hg/ha","26514","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2004","2004","hg/ha","29426","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2005","2005","hg/ha","28287","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2006","2006","hg/ha","28904","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2007","2007","hg/ha","28155","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2008","2008","hg/ha","30626","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2009","2009","hg/ha","30357","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2010","2010","hg/ha","29721","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2011","2011","hg/ha","31639","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2012","2012","hg/ha","30917","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2013","2013","hg/ha","32472","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2014","2014","hg/ha","33162","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2015","2015","hg/ha","33217","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2016","2016","hg/ha","34150","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2017","2017","hg/ha","35377","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2018","2018","hg/ha","34222","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2019","2019","hg/ha","35432","E","Estimated value"
"QCL","Crops and livestock products","001","World","5419","Yield","0111","Wheat","2020","2020","hg/ha","34744","E","Estimated value"
